step,airplane,wing,panel_id,vertex_name,x,y,z
0,Example Airplane,Main Wing,0,Flpp_GP1_CgP1,0.0,0.5,0.0027368002094615676
0,Example Airplane,Main Wing,0,Frpp_GP1_CgP1,0.028552956816195588,0.7283614024661398,0.04078181374074713
0,Example Airplane,Main Wing,0,Brpp_GP1_CgP1,0.31819522302214975,0.7283614024661398,0.06064341750106255
0,Example Airplane,Main Wing,0,Blpp_GP1_CgP1,0.29120258063831234,0.5,0.023542081184664776
0,Example Airplane,Main Wing,1,Flpp_GP1_CgP1,0.028552956816195588,0.7283614024661398,0.04078181374074713
0,Example Airplane,Main Wing,1,Frpp_GP1_CgP1,0.10986489842271466,1.3786796564403576,0.14912484590337208
0,Example Airplane,Main Wing,1,Brpp_GP1_CgP1,0.3950637650596352,1.3786796564403576,0.16629908432053553
0,Example Airplane,Main Wing,1,Blpp_GP1_CgP1,0.31819522302214975,0.7283614024661398,0.06064341750106255
0,Example Airplane,Main Wing,2,Flpp_GP1_CgP1,0.10986489842271466,1.3786796564403576,0.14912484590337208
0,Example Airplane,Main Wing,2,Frpp_GP1_CgP1,0.23155681880455078,2.3519497029047307,0.3112716521826089
0,Example Airplane,Main Wing,2,Brpp_GP1_CgP1,0.5101056680406303,2.3519497029047307,0.32442396414082364
0,Example Airplane,Main Wing,2,Blpp_GP1_CgP1,0.3950637650596352,1.3786796564403576,0.16629908432053553
0,Example Airplane,Main Wing,3,Flpp_GP1_CgP1,0.23155681880455078,2.3519497029047307,0.3112716521826089
0,Example Airplane,Main Wing,3,Frpp_GP1_CgP1,0.37510222622357475,3.5,0.502536851186903
0,Example Airplane,Main Wing,3,Brpp_GP1_CgP1,0.645806845093726,3.5,0.5109449774148931
0,Example Airplane,Main Wing,3,Blpp_GP1_CgP1,0.5101056680406303,2.3519497029047307,0.32442396414082364
0,Example Airplane,Main Wing,4,Flpp_GP1_CgP1,0.37510222622357475,3.5,0.502536851186903
0,Example Airplane,Main Wing,4,Frpp_GP1_CgP1,0.5186476336425988,4.64805029709527,0.6938020501911971
0,Example Airplane,Main Wing,4,Brpp_GP1_CgP1,0.7815080221468216,4.64805029709527,0.6974659906889624
0,Example Airplane,Main Wing,4,Blpp_GP1_CgP1,0.645806845093726,3.5,0.5109449774148931
0,Example Airplane,Main Wing,5,Flpp_GP1_CgP1,0.5186476336425988,4.64805029709527,0.6938020501911971
0,Example Airplane,Main Wing,5,Frpp_GP1_CgP1,0.6403395540244349,5.621320343559642,0.855948856470434
0,Example Airplane,Main Wing,5,Brpp_GP1_CgP1,0.8965499251278166,5.621320343559642,0.8555908705092505
0,Example Airplane,Main Wing,5,Blpp_GP1_CgP1,0.7815080221468216,4.64805029709527,0.6974659906889624
0,Example Airplane,Main Wing,6,Flpp_GP1_CgP1,0.6403395540244349,5.621320343559642,0.855948856470434
0,Example Airplane,Main Wing,6,Frpp_GP1_CgP1,0.7216514956309539,6.27163859753386,0.9642918886330589
0,Example Airplane,Main Wing,6,Brpp_GP1_CgP1,0.9734184671653021,6.27163859753386,0.9612465373287236
0,Example Airplane,Main Wing,6,Blpp_GP1_CgP1,0.8965499251278166,5.621320343559642,0.8555908705092505
0,Example Airplane,Main Wing,7,Flpp_GP1_CgP1,0.7216514956309539,6.27163859753386,0.9642918886330589
0,Example Airplane,Main Wing,7,Frpp_GP1_CgP1,0.7502044524471495,6.5,1.0023369021643445
0,Example Airplane,Main Wing,7,Brpp_GP1_CgP1,1.0004111095491395,6.5,0.9983478736451212
0,Example Airplane,Main Wing,7,Blpp_GP1_CgP1,0.9734184671653021,6.27163859753386,0.9612465373287236
0,Example Airplane,Main Wing,8,Flpp_GP1_CgP1,0.29120258063831234,0.5,0.023542081184664776
0,Example Airplane,Main Wing,8,Frpp_GP1_CgP1,0.31819522302214975,0.7283614024661398,0.06064341750106255
0,Example Airplane,Main Wing,8,Brpp_GP1_CgP1,0.6083561835691642,0.7283614024661398,0.07020991683737454
0,Example Airplane,Main Wing,8,Blpp_GP1_CgP1,0.582956352119172,0.5,0.03399625916620533
0,Example Airplane,Main Wing,9,Flpp_GP1_CgP1,0.31819522302214975,0.7283614024661398,0.06064341750106255
0,Example Airplane,Main Wing,9,Frpp_GP1_CgP1,0.3950637650596352,1.3786796564403576,0.16629908432053553
0,Example Airplane,Main Wing,9,Brpp_GP1_CgP1,0.680688783830925,1.3786796564403576,0.1733376887480709
0,Example Airplane,Main Wing,9,Blpp_GP1_CgP1,0.6083561835691642,0.7283614024661398,0.07020991683737454
0,Example Airplane,Main Wing,10,Flpp_GP1_CgP1,0.3950637650596352,1.3786796564403576,0.16629908432053553
0,Example Airplane,Main Wing,10,Frpp_GP1_CgP1,0.5101056680406303,2.3519497029047307,0.32442396414082364
0,Example Airplane,Main Wing,10,Brpp_GP1_CgP1,0.7889421702112556,2.3519497029047307,0.32767930648047117
0,Example Airplane,Main Wing,10,Blpp_GP1_CgP1,0.680688783830925,1.3786796564403576,0.1733376887480709
0,Example Airplane,Main Wing,11,Flpp_GP1_CgP1,0.5101056680406303,2.3519497029047307,0.32442396414082364
0,Example Airplane,Main Wing,11,Frpp_GP1_CgP1,0.645806845093726,3.5,0.5109449774148931
0,Example Airplane,Main Wing,11,Brpp_GP1_CgP1,0.9166357459531416,3.5,0.5097376578450662
0,Example Airplane,Main Wing,11,Blpp_GP1_CgP1,0.7889421702112556,2.3519497029047307,0.32767930648047117
